文件,中文字符串,替换值
config.py,配合新的端口切换逻辑,align with new port switching logic
config.py,端口失败后的冷却时间,cooldown after port failure
config.py,最大的失败端口记录数,max failed port records
config.py,重新启用智能端口发现,re enable smart port discovery
config.py,命令的单独超时设置,per command timeout setting
config.py,端口扫描超时时间,port scan timeout
config.py,启用自动端口切换,enable automatic port switching
config.py,连接健康检查间隔,connection health check interval
config.py,连接重试延迟,connection retry delay
config.py,减少连接问题,reduce connection issues
config.py,增加到,increase to
config.py,秒超时,seconds timeout
config.py,秒,seconds
server.py,工具函数将在需要时动态获取连接,utility will fetch a connection on demand
server.py,但不要让启动失败,but do not fail startup
server.py,始终提供连接对象,always provide a connection object
server.py,清理连接资源,clean up connection resources
server.py,尝试连接,attempt to connect
server.py,即使是,even if
connection.py,将失败的端口添加到失败列表并记录时间戳,add failed port to list with timestamp
connection.py,标记当前端口为失败并尝试其他端口,mark current port failed and try others
connection.py,成功连接后从失败列表中移除,remove from failure list after successful connect
connection.py,如果有现有连接且不强制重连,if a connection exists and reconnect is not forced
connection.py,带智能端口切换的重试机制,retry with smart port switching
connection.py,清理过期的失败端口记录,purge expired failed port entries
connection.py,验证现有连接是否还有效,verify existing connection is still valid
connection.py,解析失败但连接可能还在,parse failed but connection may still be alive
connection.py,只在严重错误时关闭连接,close connection only on critical errors
connection.py,强制重新连接到不同端口,force reconnect to a different port
connection.py,如果不是最后一次尝试,if not the last attempt
connection.py,支持字典和列表类型的,supports dict and list types
connection.py,如果所有端口都失败过,if all ports have failed
connection.py,清空失败记录重新开始,clear failure records and restart
connection.py,网络错误时才关闭连接,close connection only on network errors
connection.py,仍然尝试使用这个连接,still try using this connection
connection.py,限制失败端口记录数量,limit number of failed port entries
connection.py,获取可尝试的端口列表,get list of ports to try
connection.py,移除最早的失败记录,remove oldest failure record
connection.py,如果是连接相关错误,if it is a connection related error
connection.py,标记当前端口为失败,mark current port as failed
connection.py,排除最近失败的端口,exclude recently failed ports
connection.py,会自动添加失败端口,will auto add failed ports
connection.py,避免过于频繁的清理,avoid cleaning too frequently
connection.py,检查是否需要清理,check if cleanup is needed
connection.py,先验证连接有效性,validate connection first
connection.py,所有重试都失败了,all retries have failed
connection.py,不要立即关闭连接,do not close the connection immediately
connection.py,清理并重新创建,clean up and recreate
connection.py,如果是连接问题,if it is a connection issue
connection.py,现有连接不可用,existing connection is unavailable
connection.py,增加超时时间到,increase timeout to
connection.py,失败但连接存在,failed but connection persists
connection.py,先验证其可用性,first verify its availability
connection.py,如果已存在连接,if a connection already exists
connection.py,断开当前连接,disconnect current connection
connection.py,记录连接时间,record connection time
connection.py,检查是否包含,check whether contains
connection.py,设置连接超时,set connection timeout
connection.py,更宽松的检查,more lenient check
connection.py,更宽松的验证,more lenient validation
connection.py,尝试继续使用,attempt to continue using
connection.py,验证新连接,verify new connection
connection.py,给一次机会,give it one chance
connection.py,秒清理一次,clean once every
connection.py,创建新连接,create a new connection
connection.py,非连接问题,non connection issue
connection.py,准备重试,prepare to retry
connection.py,如果存在,if present
connection.py,只要包含,as long as it contains
connection.py,就认为是,considered as
connection.py,秒后重试,retry after seconds
connection.py,稍作等待,wait briefly
connection.py,更宽松的,more lenient
connection.py,服务器,server
connection.py,验证,validate
connection.py,等待,wait
connection.py,如果,if
connection.py,参数,parameters
connection.py,尝试,attempt
connection.py,秒,seconds
connection.py,或,or
tools\base_editor.py,操作获取指定路径下的所有菜单项,fetch all menu items under the given path
tools\base_editor.py,是否验证每个菜单项是否真实存在,whether to verify each menu item exists
tools\base_editor.py,用于编辑器状态查询和菜单管理,for editor state query and menu management
tools\base_editor.py,标签和层级管理功能已移至,tag and layer management has moved to
tools\base_editor.py,获取当前选择的对象,get current selection
tools\base_editor.py,编辑器基础管理工具,basic editor management utilities
tools\base_editor.py,要执行的编辑器操作,editor action to perform
tools\base_editor.py,支持反射动态获取,supports reflection based retrieval
tools\base_editor.py,编辑器操作类型,editor action type
tools\base_editor.py,获取编辑器状态,get editor state
tools\base_editor.py,是否包含子菜单,whether to include submenus
tools\base_editor.py,执行菜单命令,execute menu command
tools\base_editor.py,执行菜单创建,execute menu creation
tools\base_editor.py,验证菜单存在,verify menu exists
tools\base_editor.py,获取窗口列表,get window list
tools\base_editor.py,获取菜单列表,get menu list
tools\base_editor.py,下的所有菜单,all menus under
tools\base_editor.py,当前选择等,current selection etc
tools\base_editor.py,支持的功能,supported features
tools\base_editor.py,根菜单路径,root menu path
tools\base_editor.py,包含子菜单,include submenus
tools\base_editor.py,状态查询,status query
tools\base_editor.py,获取状态,get state
tools\base_editor.py,获取选择,get selection
tools\base_editor.py,二级工具,secondary tool
tools\base_editor.py,菜单管理,menu management
tools\base_editor.py,菜单路径,menu path
tools\base_editor.py,示例用法,example usage
tools\base_editor.py,执行菜单,execute menu
tools\base_editor.py,窗口列表,window list
tools\base_editor.py,适用于,suitable for
tools\base_editor.py,工具,tool
tools\base_editor.py,用于,for
tools\base_editor.py,注意,notes
tools\base_editor.py,操作,operation
tools\base_editor.py,获取,fetch
tools\call_up.py,参数格式必须严格按照目标函数的定义,argument format must strictly follow target function definition
tools\call_up.py,所有其他工具函数都通过这里转发到,all other tool functions are forwarded here to
tools\call_up.py,处理器返回的结果已经是完整的格式,handler returns results in complete format
tools\call_up.py,都必须通过此文件中的函数调用,all must be called via functions in this file
tools\call_up.py,参数传递该函数所需的所有参数,parameters pass all arguments required by the function
tools\call_up.py,使用带重试机制的命令发送到,send with retry mechanism to
tools\call_up.py,支持事务性操作和批量处理,supports transactional and batch operations
tools\call_up.py,个函数调用必须是对象类型,each function call must be an object
tools\call_up.py,每个函数调用元素必须包含,each function call item must include
tools\call_up.py,使用带重试机制的命令发送,send command with retry mechanism
tools\call_up.py,基本的函数调用格式验证,basic function call format validation
tools\call_up.py,参数指定要调用的函数名,parameter specifies function name to call
tools\call_up.py,支持的函数包括但不限于,supported functions include but are not limited to
tools\call_up.py,获取公共的错误响应格式,get common error response format
tools\call_up.py,如果返回格式不符合预期,if return format is unexpected
tools\call_up.py,传递该函数的所有参数,pass all parameters for the function
tools\call_up.py,都必须通过此函数调用,must be invoked via this function
tools\call_up.py,函数并收集所有返回值,invoke functions and collect all returns
tools\call_up.py,函数名称无效或为空,function name invalid or empty
tools\call_up.py,标准的错误响应字典,standard error response dict
tools\call_up.py,公共的错误提示文本,common error message text
tools\call_up.py,字段必须是对象类型,field must be an object
tools\call_up.py,函数名必须是有效的,function name must be valid
tools\call_up.py,参数必须是数组类型,arguments must be an array
tools\call_up.py,参数必须是对象类型,argument must be an object
tools\call_up.py,系统的核心调用入口,core invocation entry of the system
tools\call_up.py,创建多个不同类型的,create multiple different types of
tools\call_up.py,所有参数都通过此,all parameters go through this
tools\call_up.py,确保返回结果包含,ensure result contains
tools\call_up.py,单个函数调用工具,single function call utility
tools\call_up.py,每个元素必须包含,each element must include
tools\call_up.py,批量调用转发失败,batch call forwarding failed
tools\call_up.py,批量函数调用工具,batch function call utility
tools\call_up.py,进行单个函数调用,perform a single function call
tools\call_up.py,字段无效或为空,field invalid or empty
tools\call_up.py,包装成标准格式,wrap into standard format
tools\call_up.py,函数的参数字典,parameter dict of the function
tools\call_up.py,参数序列化失败,parameter serialization failed
tools\call_up.py,可以按顺序调用,can be called in sequence
tools\call_up.py,包含单个和批量,include single and batch
tools\call_up.py,连接实例,connection instance
tools\call_up.py,参数字典,parameter dict
tools\call_up.py,函数调用,function call
tools\call_up.py,字典传递,pass as dict
tools\call_up.py,重要说明,important notes
tools\call_up.py,设置布局,set layout
tools\call_up.py,无法获取,unable to obtain
tools\call_up.py,设置属性,set property
tools\call_up.py,一级工具,primary tool
tools\call_up.py,函数名称,function name
tools\call_up.py,连接错误,connection error
tools\call_up.py,必须通过,must go through
tools\call_up.py,批量创建,batch create
tools\call_up.py,工具函数,utility function
tools\call_up.py,直接返回,return directly
tools\call_up.py,场景管理,scene management
tools\call_up.py,要调用的,to call
tools\call_up.py,添加组件,add component
tools\call_up.py,函数名,function name
tools\call_up.py,处理器,handler
tools\call_up.py,等函数,and functions
tools\call_up.py,或使用,or use
tools\call_up.py,的参数,parameters of
tools\call_up.py,传递给,pass to
tools\call_up.py,请使用,please use
tools\call_up.py,函数,function
tools\call_up.py,播放,play
tools\call_up.py,获取,get
tools\call_up.py,连接,connection
tools\call_up.py,截图,screenshot
tools\call_up.py,停止,stop
tools\call_up.py,字段,field
tools\call_up.py,部分,section
tools\call_up.py,标志,flag
tools\call_up.py,元素,element
tools\call_up.py,这是,this is
tools\call_up.py,创建,create
tools\call_up.py,所有,all
tools\call_up.py,编辑,edit
tools\call_up.py,重要,important
tools\call_up.py,外,outside
tools\call_up.py,除,except
tools\call_up.py,的,of
tools\call_up.py,如,such as
tools\call_up.py,等,etc
tools\call_up.py,和,and
tools\call_up.py,第,No
tools\console.py,编辑器控制台写入不同类型的日志消息,write different log message types to the editor console
tools\console.py,支持多种操作模式和灵活的过滤选项,supports multiple modes and flexible filters
tools\console.py,支持多种日志级别和丰富的标签功能,supports multiple log levels and rich tags
tools\console.py,控制台中有不同的显示效果和颜色,different display effects and colors in console
tools\console.py,此函数仅用于提供参数说明和文档,this function only provides parameter description and docs
tools\console.py,便于在控制台中筛选相关消息,helps filter related messages in console
tools\console.py,过滤包含指定文本的日志消息,filter log messages containing specified text
tools\console.py,记录程序运行状态和变量值,record runtime state and variables
tools\console.py,包含控制台读取和写入功能,includes console read and write
tools\console.py,记录关键操作的时间和状态,record time and status of key actions
tools\console.py,用于分类和过滤日志的标签,tags for classifying and filtering logs
tools\console.py,显示游戏状态和提示信息,display game state and tips
tools\console.py,用于描述断言失败的条件,describe conditions for assertion failures
tools\console.py,要写入的日志消息类型,log message type to write
tools\console.py,不设置则获取全部消息,fetch all messages if not set
tools\console.py,控制台的具体消息内容,concrete console message content
tools\console.py,获取错误和警告消息,get error and warning messages
tools\console.py,控制台输出格式类型,console output format type
tools\console.py,限制返回的消息数量,limit number of returned messages
tools\console.py,输出异常和错误信息,output exceptions and errors
tools\console.py,可选择多种类型组合,allow combinations of multiple types
tools\console.py,过滤特定内容的消息,filter messages with specific content
tools\console.py,清空控制台历史记录,clear console history
tools\console.py,要获取的消息类型,message types to get
tools\console.py,中高亮显示该对象,highlight the object in
tools\console.py,控制台写入工具,console write utility
tools\console.py,可以读取或清空,can read or clear
tools\console.py,控制台读取工具,console read utility
tools\console.py,控制台操作工具,console operation tool
tools\console.py,实际调用请使用,for actual calls please use
tools\console.py,包含堆栈跟踪,include stack trace
tools\console.py,支持模糊匹配,supports fuzzy match
tools\console.py,调试信息收集,debug info collection
tools\console.py,消息类型列表,list of message types
tools\console.py,无堆栈跟踪,no stack trace
tools\console.py,上下文对象,context object
tools\console.py,不同类型在,different types in
tools\console.py,最大消息数,max message count
tools\console.py,清空控制台,clear console
tools\console.py,控制台管理,console management
tools\console.py,文本过滤器,text filter
tools\console.py,要写入到,to write to
tools\console.py,调试输出,debug output
tools\console.py,日志分析,log analysis
tools\console.py,重要提示,important note
tools\console.py,操作类型,operation type
tools\console.py,日志标签,log tags
tools\console.py,日志类型,log types
tools\console.py,性能监控,performance monitoring
tools\console.py,二级工具,secondary tool
tools\console.py,错误报告,error report
tools\console.py,输出格式,output format
tools\console.py,日志消息,log message
tools\console.py,断言条件,assertion condition
tools\console.py,用户反馈,user feedback
tools\console.py,获取日志,get logs
tools\console.py,时使用,used when
tools\console.py,相关的,related
tools\console.py,适用于,suitable for
tools\console.py,可以向,can write to
tools\console.py,函数,function
tools\console.py,名称,name
tools\console.py,示例,example
tools\console.py,仅在,only when
tools\console.py,为,as
tools\edit_asset.py,此函数仅用于提供参数说明和文档,this function only provides parameter description and docs
tools\edit_asset.py,用于设置资产的各种属性,for setting various asset properties
tools\edit_asset.py,是否强制执行操作,whether to force execution
tools\edit_asset.py,资产的各种操作,various asset operations
tools\edit_asset.py,覆盖现有文件等,overwrite existing files etc
tools\edit_asset.py,实际调用请使用,for actual calls please use
tools\edit_asset.py,资产管理工具,asset management tool
tools\edit_asset.py,重新导入资产,reimport asset
tools\edit_asset.py,资产属性字典,asset property dict
tools\edit_asset.py,获取资产信息,get asset info
tools\edit_asset.py,修改资产属性,modify asset properties
tools\edit_asset.py,复制时使用,used when copying
tools\edit_asset.py,重命名资产,rename asset
tools\edit_asset.py,创建文件夹,create folder
tools\edit_asset.py,支持的操作,supported operations
tools\edit_asset.py,搜索模式,search mode
tools\edit_asset.py,资产路径,asset path
tools\edit_asset.py,重要提示,important note
tools\edit_asset.py,复制资产,copy asset
tools\edit_asset.py,操作类型,operation type
tools\edit_asset.py,资产属性,asset properties
tools\edit_asset.py,强制执行,force execute
tools\edit_asset.py,标准格式,standard format
tools\edit_asset.py,包括导入,including import
tools\edit_asset.py,搜索资产,search assets
tools\edit_asset.py,二级工具,secondary tool
tools\edit_asset.py,目标路径,target path
tools\edit_asset.py,复制等,copy etc
tools\edit_asset.py,函数,function
tools\edit_asset.py,示例,example
tools\edit_asset.py,修改,modify
tools\edit_asset.py,移动,move
tools\edit_asset.py,相同,same
tools\edit_asset.py,提供,provide
tools\edit_asset.py,如,such as
tools\edit_asset.py,等,etc
tools\edit_asset.py,与,and
tools\edit_component.py,组件的所有可序列化字段和属性,all serializable fields and properties of a component
tools\edit_component.py,组件类型的反射访问和修改,reflection based access and modification for component types
tools\edit_component.py,查看可用属性作为设置模板,view available properties as templates
tools\edit_component.py,支持读取和修改组件状态,support reading and modifying component state
tools\edit_component.py,面板功能的编程接口,programmatic interface for inspector panels
tools\edit_component.py,专门用于获取和设置,specialized for get and set
tools\edit_component.py,反射操作有性能开销,reflection has performance overhead
tools\edit_component.py,批量设置组件属性,batch set component properties
tools\edit_component.py,会创建实例的属性,properties that create instances
tools\edit_component.py,要设置的属性字典,property dict to set
tools\edit_component.py,以及所有自定义,and all custom
tools\edit_component.py,避免在每帧调用,avoid calling every frame
tools\edit_component.py,的层次结构路径,hierarchy path of
tools\edit_component.py,确保值类型匹配,ensure value types match
tools\edit_component.py,用于获取和设置,used for get and set
tools\edit_component.py,反射机制访问,reflection based access
tools\edit_component.py,所有修改支持,all modifications supported
tools\edit_component.py,属性访问规则,property access rules
tools\edit_component.py,组件编辑工具,component editing tool
tools\edit_component.py,数据类型支持,data type support
tools\edit_component.py,自动类型转换,automatic type conversion
tools\edit_component.py,设置组件属性,set component properties
tools\edit_component.py,支持组件类型,supported component types
tools\edit_component.py,组件类型名称,component type name
tools\edit_component.py,获取组件属性,get component properties
tools\edit_component.py,的类型名称,type name of
tools\edit_component.py,快捷访问器,quick accessor
tools\edit_component.py,组件的属性,component properties
tools\edit_component.py,对象路径,object path
tools\edit_component.py,基本类型,primitive types
tools\edit_component.py,操作类型,operation type
tools\edit_component.py,引用类型,reference types
tools\edit_component.py,私有字段,private fields
tools\edit_component.py,注意事项,notes
tools\edit_component.py,二级工具,secondary tool
tools\edit_component.py,属性字典,property dict
tools\edit_component.py,支持所有,supports all
tools\edit_component.py,格式数据,formatted data
tools\edit_component.py,组件类型,component type
tools\edit_component.py,主要操作,main operations
tools\edit_component.py,可读写的,readable and writable
tools\edit_component.py,集合类型,collection types
tools\edit_component.py,个元素,items
tools\edit_component.py,编辑器,editor
tools\edit_component.py,的实例,instance of
tools\edit_component.py,继承自,inherits from
tools\edit_component.py,先使用,use first
tools\edit_component.py,这是,this is
tools\edit_component.py,实例,instance
tools\edit_component.py,动画,animation
tools\edit_component.py,用于,for
tools\edit_component.py,字段,field
tools\edit_component.py,属性,property
tools\edit_component.py,返回,return
tools\edit_component.py,类型,type
tools\edit_component.py,包含,include
tools\edit_component.py,操作,operation
tools\edit_component.py,渲染,rendering
tools\edit_component.py,排除,exclude
tools\edit_component.py,撤销,undo
tools\edit_component.py,需要,need
tools\edit_component.py,物理,physics
tools\edit_component.py,光照,lighting
tools\edit_component.py,音频,audio
tools\edit_component.py,使用,use
tools\edit_component.py,脚本,script
tools\edit_component.py,等,etc
tools\edit_gameobject.py,此函数仅用于提供参数说明和文档,this function only provides parameter description and docs
tools\edit_gameobject.py,要添加或移除的组件类型名称,component type name to add or remove
tools\edit_gameobject.py,父对象的层次结构路径,hierarchy path of the parent
tools\edit_gameobject.py,移除和获取组件,remove and get components
tools\edit_gameobject.py,的层次结构路径,hierarchy path of
tools\edit_gameobject.py,实际调用请使用,for actual calls please use
tools\edit_gameobject.py,组件管理等功能,component management features
tools\edit_gameobject.py,父对象的实例,parent object instance
tools\edit_gameobject.py,设置父子关系,set parent child relationship
tools\edit_gameobject.py,修改和管理,modify and manage
tools\edit_gameobject.py,的静态标志,static flags of
tools\edit_gameobject.py,的缩放比例,scale of
tools\edit_gameobject.py,的位置坐标,position coordinates of
tools\edit_gameobject.py,设置父对象,set parent
tools\edit_gameobject.py,父对象路径,parent path
tools\edit_gameobject.py,的旋转角度,rotation of
tools\edit_gameobject.py,的基本属性,basic properties of
tools\edit_gameobject.py,的激活状态,active state of
tools\edit_gameobject.py,对象路径,object path
tools\edit_gameobject.py,属性修改,property modification
tools\edit_gameobject.py,重要提示,important note
tools\edit_gameobject.py,操作类型,operation type
tools\edit_gameobject.py,用于创建,used to create
tools\edit_gameobject.py,二级工具,secondary tool
tools\edit_gameobject.py,对象创建,object creation
tools\edit_gameobject.py,移除组件,remove component
tools\edit_gameobject.py,创建新的,create new
tools\edit_gameobject.py,获取组件,get component
tools\edit_gameobject.py,组件管理,component management
tools\edit_gameobject.py,组件类型,component type
tools\edit_gameobject.py,变换操作,transform operations
tools\edit_gameobject.py,层次结构,hierarchy
tools\edit_gameobject.py,支持多种,supports multiple
tools\edit_gameobject.py,编辑工具,editing tool
tools\edit_gameobject.py,设置位置,set position
tools\edit_gameobject.py,添加组件,add component
tools\edit_gameobject.py,激活状态,active state
tools\edit_gameobject.py,静态标志,static flags
tools\edit_gameobject.py,的标签,tag of
tools\edit_gameobject.py,的图层,layer of
tools\edit_gameobject.py,父对象,parent
tools\edit_gameobject.py,的创建,creation of
tools\edit_gameobject.py,的名称,name of
tools\edit_gameobject.py,适用于,suitable for
tools\edit_gameobject.py,的实例,instance of
tools\edit_gameobject.py,创建,create
tools\edit_gameobject.py,实例,instance
tools\edit_gameobject.py,函数,function
tools\edit_gameobject.py,名称,name
tools\edit_gameobject.py,缩放,scale
tools\edit_gameobject.py,添加,add
tools\edit_gameobject.py,位置,position
tools\edit_gameobject.py,包含,include
tools\edit_gameobject.py,旋转,rotation
tools\edit_gameobject.py,操作,operation
tools\edit_gameobject.py,标签,tag
